title,series,platform,genre,developer,publisher,rating,modes,year,release_eu,release_jp,release_na,plot
The King of Fighters '97,The King of Fighters,Neo Geo CD,FIGHTING,SNK,SNK,,"SINGLE_PLAYER, TWO_PLAYERS",1997,1997-10-30,1997-10-30,1997-10-30,
The King of Fighters '98: The Slugfest,The King of Fighters,Neo Geo CD,FIGHTING,SNK,SNK,,"SINGLE_PLAYER, TWO_PLAYERS",1998,1998-12-23,1998-12-23,1998-12-23,
The King of Fighters '99: Millennium Battle,The King of Fighters,Neo Geo CD,FIGHTING,SNK,SNK,,"SINGLE_PLAYER, TWO_PLAYERS",1999,1999-12-02,1999-12-02,1999-12-02,
King of the Monsters 2,King of the Monsters,Neo Geo CD,"FIGHTING, SPORTS_WRESTLING",SNK,SNK,,"SINGLE_PLAYER, TWO_PLAYERS",1992,1994-09-09,1994-09-09,1994-09-09,
The Last Blade,The Last Blade,Neo Geo CD,FIGHTING,SNK,SNK,,"SINGLE_PLAYER, TWO_PLAYERS",1997,1998-03-25,1998-03-25,1998-03-25,
The Last Blade 2,The Last Blade,Neo Geo CD,FIGHTING,SNK,SNK,,"SINGLE_PLAYER, TWO_PLAYERS",1998,1999-02-27,1999-02-27,1999-02-27,
Last Resort,,Neo Geo CD,SHOOT_EM_UP,SNK,SNK,ESRB_EVERYONE,"SINGLE_PLAYER, TWO_PLAYERS",1992,1994-09-09,1994-09-09,1994-09-09,
League Bowling,,Neo Geo CD,SPORTS,SNK,SNK,ESRB_EVERYONE,"SINGLE_PLAYER, TWO_PLAYERS",1990,1994-09-09,1994-09-09,1994-09-09,
Magical Drop II,Magical Drop,Neo Geo CD,PUZZLE,Data East,"Data East, SNK",,SINGLE_PLAYER,1996,1996-05-24,1996-05-24,1996-05-24,
Magician Lord,,Neo Geo CD,PLATFORM,Alpha Denshi,"Alpha Denshi, SNK",ESRB_TEEN,SINGLE_PLAYER,1990,1994-10-31,1994-10-31,1994-10-31,
Metal Slug,Metal Slug,Neo Geo CD,RUN_AND_GUN,Nazca Corporation,"Nazca Corporation, SNK",ESRB_TEEN,"SINGLE_PLAYER, TWO_PLAYERS",1996,1996-07-05,1996-07-05,1996-07-05,
Metal Slug 2,Metal Slug,Neo Geo CD,RUN_AND_GUN,Nazca Corporation,"Nazca Corporation, SNK",ESRB_TEEN,"SINGLE_PLAYER, TWO_PLAYERS",1998,1998-06-25,1998-06-25,1998-06-25,
Mutation Nation,,Neo Geo CD,BEAT_EM_UP,SNK,SNK,ESRB_TEEN,SINGLE_PLAYER,1992,1995-02-25,1995-02-25,1995-02-25,
NAM-1975,,Neo Geo CD,SHOOTER,SNK,SNK,ESRB_TEEN,SINGLE_PLAYER,1990,1994-09-09,1994-09-09,1994-09-09,
Neo Drift Out: New Technology,,Neo Geo CD,RACING,Visco,"SNK, Visco",,SINGLE_PLAYER,1996,1996-07-26,1996-07-26,1996-07-26,
Neo Turf Masters,,Neo Geo CD,SPORTS,Nazca Corporation,"Nazca Corporation, SNK",ESRB_EVERYONE,"SINGLE_PLAYER, TWO_PLAYERS",1996,1996-05-03,1996-05-03,1996-05-03,
Ninja Combat,,Neo Geo CD,"BEAT_EM_UP, HACK_AND_SLASH",Alpha Denshi,"Alpha Denshi, SNK",ESRB_TEEN,SINGLE_PLAYER,1990,1994-10-31,1994-10-31,1994-10-31,
Ninja Commando,,Neo Geo CD,RUN_AND_GUN,Alpha Denshi,"Alpha Denshi, SNK",ESRB_EVERYONE,SINGLE_PLAYER,1992,1994-10-31,1994-10-31,1994-10-31,
Ninja Master's: Haō Ninpō Chō,,Neo Geo CD,FIGHTING,"ADK, SNK","ADK, SNK",,"SINGLE_PLAYER, TWO_PLAYERS",1996,1996-09-27,1996-09-27,1996-09-27,
Over Top,,Neo Geo CD,RACING,ADK,"ADK, SNK",,SINGLE_PLAYER,1996,1996-07-26,1996-07-26,1996-07-26,
