title,series,platform,genre,developer,publisher,rating,modes,year,release_eu,release_jp,release_na,plot
Armour-Geddon (Europe),,Atari ST,STRATEGY,,Psygnosis,OTHER_NOT_RATED,,1991,,,,
Armoured Operation (Europe),,Atari ST,SHOOTER,,Powerfist Licenceware,OTHER_NOT_RATED,,1993,,,,
Army Moves (Europe),,Atari ST,SHOOT_EM_UP,,Imagine,OTHER_NOT_RATED,,1988,,,,
Around the World (Europe),,Atari ST,ACTION,,Floppyshop,OTHER_NOT_RATED,,1992,,,,
Arthur of the Britons (Europe),,Atari ST,STRATEGY,,LAPD,OTHER_NOT_RATED,,1989,,,,
Artificial Dreams (Europe),,Atari ST,SHOOT_EM_UP,,HTL,OTHER_NOT_RATED,,1988,,,,
Artura (Europe),,Atari ST,ACTION,,Gremlin Graphics,OTHER_NOT_RATED,,1988,,,,
Astaroth (Europe),,Atari ST,ACTION,,Hewson Consultants,OTHER_NOT_RATED,,1993,,,,
Astate (France),,Atari ST,ADVENTURE,,New Deal Productions,OTHER_NOT_RATED,,1990,,,,
Asterix - Operation Getafix (Europe),,Atari ST,ACTION,,Coktel Vision,OTHER_NOT_RATED,,1989,,,,
Asteroidia (USA) (Unl),,Atari ST,SHOOT_EM_UP,,Munsie,OTHER_NOT_RATED,,1995,,,,
Asteroids (Europe) (Unl),,Atari ST,SHOOT_EM_UP,,Sinister Developments,OTHER_NOT_RATED,,1992,,,,
Asteroids Deluxe (Europe),,Atari ST,SHOOT_EM_UP,,Atari Corp.,OTHER_NOT_RATED,,1987,,,,
Astro 2000 (Europe) (Unl),,Atari ST,SHOOT_EM_UP,,Cybernation Software,OTHER_NOT_RATED,,1996,,,,
AstroPanic 94! (USA) (Unl),,Atari ST,SHOOT_EM_UP,,Dan Ackerman,OTHER_NOT_RATED,,1994,,,,
AstroPanic! (USA) (Unl),,Atari ST,SHOOT_EM_UP,,Charles Brannon,OTHER_NOT_RATED,,1986,,,,
Atari Grand Prix (Europe) (Disk 1),,Atari ST,DRIVING,,Atari Corp.,OTHER_NOT_RATED,,1989,,,,
Atari Grand Prix (Europe) (Disk 2),,Atari ST,DRIVING,,Atari Corp.,OTHER_NOT_RATED,,1989,,,,
"Atari Planetarium, The (USA)",,Atari ST,EDUCATIONAL,,Atari,OTHER_NOT_RATED,,1987,,,,
Atax (Europe),,Atari ST,SHOOT_EM_UP,,Ramware,OTHER_NOT_RATED,,1988,,,,
ATF II - Advanced Tactical Fighter II (Europe),,Atari ST,SHOOTER,,Digital Integration,OTHER_NOT_RATED,,1990,,,,
Atomic RoboKid (Europe),,Atari ST,SHOOT_EM_UP,,Activision,OTHER_NOT_RATED,,1990,,,,
Atomino (Europe),,Atari ST,PUZZLE,,Psygnosis,OTHER_NOT_RATED,,1990,,,,
Atomix (Europe),,Atari ST,PUZZLE,,Thalion,OTHER_NOT_RATED,,1989,,,,
Aussie Joker Poker (USA),,Atari ST,CASINO,,Joker Software,OTHER_NOT_RATED,,1989,,,,
Austerlitz (Europe),,Atari ST,STRATEGY,,MirrorSoft,OTHER_NOT_RATED,,1990,,,,
Auto Duel (Europe) (Disk 1),,Atari ST,ROLE_PLAYING,,Origin Systems,OTHER_NOT_RATED,,1986,,,,
Auto Duel (Europe) (Disk 2),,Atari ST,ROLE_PLAYING,,Origin Systems,OTHER_NOT_RATED,,1986,,,,
AV-8B Harrier Assault (Europe) (Disk 1),,Atari ST,SIMULATION,,Domark,OTHER_NOT_RATED,,1992,,,,
AV-8B Harrier Assault (Europe) (Disk 2),,Atari ST,SIMULATION,,Domark,OTHER_NOT_RATED,,1992,,,,
Avina Blue (Europe) (Unl),,Atari ST,SHOOT_EM_UP,,Budgie UK,OTHER_NOT_RATED,,1991,,,,
Awesome (Europe) (Disk 1),,Atari ST,SHOOTER,,Psygnosis,OTHER_NOT_RATED,,1991,,,,
Awesome (Europe) (Disk 2),,Atari ST,SHOOTER,,Psygnosis,OTHER_NOT_RATED,,1991,,,,
Awesome (Europe) (Disk 3),,Atari ST,SHOOTER,,Psygnosis,OTHER_NOT_RATED,,1991,,,,
Axel's Magic Hammer (Europe),,Atari ST,PLATFORM,,Gremlin Graphics,OTHER_NOT_RATED,,1989,,,,
Axis (Europe) (Unl),,Atari ST,PUZZLE,,Serious Software,OTHER_NOT_RATED,,1993,,,,
Azarian (Canada) (Unl),,Atari ST,SHOOT_EM_UP,,Synergy Development,OTHER_NOT_RATED,,1987,,,,
B.A.T. (Europe) (Disk 1),,Atari ST,ROLE_PLAYING,,UBI Soft,OTHER_NOT_RATED,,1989,,,,
B.A.T. (Europe) (Disk 2),,Atari ST,ROLE_PLAYING,,UBI Soft,OTHER_NOT_RATED,,1989,,,,
B.A.T. (Europe) (Disk 3),,Atari ST,ROLE_PLAYING,,UBI Soft,OTHER_NOT_RATED,,1989,,,,
B.A.T. II (Europe) (Disk 1),,Atari ST,ROLE_PLAYING,,UBI Soft,OTHER_NOT_RATED,,1991,,,,
B.A.T. II (Europe) (Disk 2),,Atari ST,ROLE_PLAYING,,UBI Soft,OTHER_NOT_RATED,,1991,,,,
B.A.T. II (Europe) (Disk 3),,Atari ST,ROLE_PLAYING,,UBI Soft,OTHER_NOT_RATED,,1991,,,,
B.A.T. II (Europe) (Disk 4),,Atari ST,ROLE_PLAYING,,UBI Soft,OTHER_NOT_RATED,,1991,,,,
B.A.T. II (Europe) (Disk 5),,Atari ST,ROLE_PLAYING,,UBI Soft,OTHER_NOT_RATED,,1991,,,,
B17 - Flying Fortress (Europe),,Atari ST,SIMULATION,,MicroProse,OTHER_NOT_RATED,,1993,,,,
Baal (Europe),,Atari ST,ACTION,,Psygnosis,OTHER_NOT_RATED,,1988,,,,
Baby Jo - Going Home (Europe),,Atari ST,PLATFORM,,Loriciel,OTHER_NOT_RATED,,1991,,,,
Back to the Future II (Europe),,Atari ST,BEAT_EM_UP,,MirrorSoft,OTHER_NOT_RATED,,1990,,,,
Back to the Future III (Europe),,Atari ST,ADVENTURE,,Image Works,OTHER_NOT_RATED,,1991,,,,
Back to the Golden Age (USA),,Atari ST,ACTION,,UBI Soft,OTHER_NOT_RATED,,1990,,,,
Backgammon (Europe),,Atari ST,BOARD_GAMES,,Atari Corp.,OTHER_NOT_RATED,,1988,,,,
Backgammon Royale (Europe),,Atari ST,BOARD_GAMES,,CP Software,OTHER_NOT_RATED,,1991,,,,
Backlash (Europe),,Atari ST,SHOOTER,,Novagen Software,OTHER_NOT_RATED,,1987,,,,
Bad Cat (Europe),,Atari ST,ACTION,,Rainbow Arts,OTHER_NOT_RATED,,1987,,,,
Bad Company (Europe),,Atari ST,SHOOTER,,Logotron,OTHER_NOT_RATED,,1989,,,,
Bad Dudes vs. Dragon Ninja (USA),,Atari ST,BEAT_EM_UP,,Imagine,OTHER_NOT_RATED,,1988,,,,
Badlands (Europe),,Atari ST,DRIVING,,Domark,OTHER_NOT_RATED,,1990,,,,
Badlands Pete (Europe),,Atari ST,ACTION,,ARC,OTHER_NOT_RATED,,1990,,,,
Baker Street Detective (USA),,Atari ST,ADVENTURE,,Artworx Software,OTHER_NOT_RATED,,1986,,,,
Balance of Power (USA),,Atari ST,STRATEGY,,Mindscape,OTHER_NOT_RATED,,1987,,,,
Balance of Power - The 1990 Edition (USA),,Atari ST,STRATEGY,,Mindscape,OTHER_NOT_RATED,,1990,,,,
"Ball Game, The (Europe)",,Atari ST,PUZZLE,,Electronic Zoo,OTHER_NOT_RATED,,1991,,,,
Ball Zone (Europe) (Unl),,Atari ST,BREAKOUT,,Budgie UK,OTHER_NOT_RATED,,1988,,,,
Ballistix (Europe),,Atari ST,SPORTS_FUTURISTIC,,Psyclapse,OTHER_NOT_RATED,,1989,,,,
Balls Quest (Europe) (Unl),,Atari ST,PUZZLE,,L. Ramon,OTHER_NOT_RATED,,null,,,,
Balls Up (Europe) (Unl),,Atari ST,PUZZLE,,Poon Software,OTHER_NOT_RATED,,null,,,,
Ballyhoo (USA),,Atari ST,ADVENTURE,,Infocom,OTHER_NOT_RATED,,1986,,,,
Bambino and the Puzzle (Europe),,Atari ST,PUZZLE,,Carrez Editions,OTHER_NOT_RATED,,1989,,,,
Bang and Blast Man (Europe) (Unl),,Atari ST,MAZE,,Megagold,OTHER_NOT_RATED,,1996,,,,
Bangkok Knights (Europe),,Atari ST,SPORTS_BOXING,,System 3,OTHER_NOT_RATED,,1989,,,,
Bank Buster (USA),,Atari ST,BREAKOUT,,Methodic Solutions,OTHER_NOT_RATED,,1988,,,,
Bank-It (Europe),,Atari ST,CASINO,,Aaronfay Marketing Ltd,OTHER_NOT_RATED,,1987,,,,
Barbarian (Europe),,Atari ST,ACTION,,Psygnosis,OTHER_NOT_RATED,,1987,,,,
Barbarian - The Ultimate Warrior (Europe),,Atari ST,FIGHTER,,US Gold,OTHER_NOT_RATED,,1987,,,,
Barbarian II (Europe) (Disk 1),,Atari ST,ACTION,,Psygnosis,OTHER_NOT_RATED,,1991,,,,
Barbarian II (Europe) (Disk 2),,Atari ST,ACTION,,Psygnosis,OTHER_NOT_RATED,,1991,,,,
Barbarian II - The Dungeon of Drax (Europe),,Atari ST,FIGHTER,,Palace Software,OTHER_NOT_RATED,,1988,,,,
"Bard's Tale, The - Tales of the Unknown (USA)",,Atari ST,ROLE_PLAYING,,Electronic Arts,OTHER_NOT_RATED,,1987,,,,
Bargon Attack (Europe),,Atari ST,ADVENTURE,,Coktel Vision,OTHER_NOT_RATED,,1992,,,,
"Basket Manager, The (Europe)",,Atari ST,SPORTS_BASKETBALL,,Simulmondo,OTHER_NOT_RATED,,1990,,,,
Batman - The Caped Crusader (Europe),,Atari ST,ACTION,,Ocean Software,OTHER_NOT_RATED,,1988,,,,
Batman - The Movie (Europe),,Atari ST,ACTION,,Ocean Software,OTHER_NOT_RATED,,1989,,,,
Battle Bound (Europe),,Atari ST,ACTION,,Warp,OTHER_NOT_RATED,,1991,,,,
Battle Chess (USA),,Atari ST,BOARD_GAMES,,Interplay,OTHER_NOT_RATED,,1989,,,,
Battle Command (Europe),,Atari ST,SHOOTER,,Ocean Software,OTHER_NOT_RATED,,1990,,,,
Battle Of The Atlantic - The Ocean Lifeline 1940-1944) (Canada),,Atari ST,STRATEGY,,Simulations Canada,OTHER_NOT_RATED,,1988,,,,
Battle Probe (Europe),,Atari ST,SHOOT_EM_UP,,Capital Software Designs Ltd.,OTHER_NOT_RATED,,1988,,,,
Battlehawks 1942 (USA),,Atari ST,SIMULATION,,LucasFilm Games,OTHER_NOT_RATED,,1988,,,,
Battlemaster (Europe),,Atari ST,ACTION,,PSS,OTHER_NOT_RATED,,1990,,,,
